questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
AK-030,insurance,AK,1,28,27,"What type of insurance proof must you carry in Alaska?","None required in vehicle","Proof of liability insurance","Full coverage documentation","Insurance card and policy",B
AK-032,stateUnique,AK,1,45,44,"When are drivers required to use their headlights in Alaska?","Only during hours between sunset and sunrise","Only when it is snowing or in bad weather","Sunset to sunrise or visibility under 1000 ft","24 hours a day at all times while driving",C
AZ-011,gdlLicensing,AZ,1,9,8,"How long is an Arizona instruction permit valid?","6 months","12 months","2 years","4 years",B
AZ-031,stateUnique,AZ,1,38,37,"What must you do when approaching a stopped emergency vehicle with flashing lights in Arizona?","Slow down but remain in your lane","Come to a complete stop behind it","Move over to another lane or slow down","Continue driving at your normal speed",C
AZ-037,stateUnique,AZ,1,34,33,"What device is required after a DUI conviction in Arizona?","A GPS tracker on your vehicle","A dashboard camera for monitoring","A speed limiter device installed","Ignition interlock on all vehicles",D
AR-009,gdlLicensing,AR,1,25,24,"Can intermediate license holders in Arkansas use cell phones while driving?","Yes at any time","Yes with hands-free only","No except for emergencies","Only for GPS",C
AR-031,stateUnique,AR,1,38,37,"What must you do when approaching a stopped emergency vehicle with flashing lights in Arkansas?","Slow down but remain in your lane","Move over to another lane or slow down","Come to a complete stop behind it","Continue driving at your normal speed",B
AR-037,stateUnique,AR,1,45,44,"What should you do if you are involved in an accident in Arkansas?","Stop then exchange info then report if needed","Leave the scene to find help that is nearby","Move all vehicles first in all situations","Wait for the police before taking any action",A
CA-004,gdlLicensing,CA,1,25,24,"How many hours of supervised driving practice are required for a provisional license in California?","25 hours total","50 hours with 10 at night","40 hours with 5 at night","30 hours total",B
CA-024,duiStateLaws,CA,1,8,7,"How long does a DUI stay on your driving record in California?","5 years","7 years","10 years","Forever",C
CA-032,stateUnique,CA,1,45,44,"When are drivers required to use their headlights in California?","Sunset to sunrise or visibility under 1000 ft","Only between the hours of sunset and sunrise","Only during rain or other severe weather","24 hours a day at all times while driving",A
CO-022,duiStateLaws,CO,1,15,14,"What is Colorado's underage drinking and driving offense called?","Minor DUI","Baby DUI or UDD","Teen DWI","Junior offense",B
CO-037,stateUnique,CO,1,39,38,"What is the penalty for a first violation of GDL restrictions in Colorado?","8-24 hours community service and a fine","A warning only for the first violation","Immediate license suspension applies","Jail time is required for violators",A
CT-013,cellPhone,CT,1,26,25,"Can drivers under 18 use hands-free phones while driving in Connecticut?","Yes hands-free is allowed","No all phone use is banned","Only for emergencies","Only for GPS",B
DE-005,gdlLicensing,DE,1,25,24,"How many hours of supervised driving are required for a Delaware license?","30 hours total","40 hours with 5 at night","50 hours with 10 at night","60 hours",C
DE-006,gdlLicensing,DE,1,38,37,"Who may supervise driving during the first 6 months with a permit in Delaware?","Any driver with a valid license","Only parents or legal guardians","Only professional driving instructors","Parents or adults 25+ with 5 years exp",D
DE-026,duiStateLaws,DE,1,23,22,"What happens to an underage driver under 17 with a BAC of 0.08% or higher in Delaware?","Standard DUI penalties","No license until age 21","Fine only","Probation only",B
DE-028,insurance,DE,1,38,37,"What happens if you drive without insurance in Delaware?","$1500-2000 fine and 6-month suspension","A warning only for the first offense","Points on your license but no fine","Nothing happens for the first offense",A
FL-007,gdlLicensing,FL,1,25,24,"How many hours of supervised driving are required for a Florida license?","30 hours total","40 hours with 5 at night","50 hours with 10 at night","60 hours",C
HI-023,duiStateLaws,HI,1,25,24,"What happens if you refuse a BAC test in Hawaii?","Warning only","2 year license revocation","30 day suspension","Same as failing the test",B
HI-030,insurance,HI,1,40,39,"When can a Hawaii driver sue for damages in an accident?","Always regardless of who is at fault","Never because it is a no-fault state","Only when injuries exceed PIP or serious","Only for property damage claims allowed",C
HI-039,stateUnique,HI,1,25,24,"Are there HOV lanes in Hawaii?","No","Yes on some Oahu freeways","Only on neighbor islands","Only during rush hour",B
ID-014,cellPhone,ID,1,37,36,"What does Idaho's hands-free law prohibit while driving?","Holding any electronic device in hand","Talking on phones only while driving","Texting only is prohibited by law","Phone use only for teen drivers",A
ID-030,insurance,ID,1,44,43,"What happens if you drive without insurance in Idaho?","A warning only for the first offense given","A small fine only is applied to your record","Fines plus suspension plus registration loss","Points on your license but no fine given",C
ID-038,stateUnique,ID,1,45,44,"What should you know about wildlife on Idaho roads?","Wildlife is not a significant concern here","Watch for deer and elk and moose at dawn/dusk","Wildlife is only in national parks areas","Wildlife crossings are always clearly marked",B
IL-010,gdlLicensing,IL,1,36,35,"What is unique about driver education in Illinois?","It is optional for all age groups","A parent-taught option is available","Mandatory classroom and behind-wheel","It is available online only now",C
IL-036,stateUnique,IL,1,36,35,"What is unique about Illinois toll roads?","Extensive tollway system with I-PASS","There are no toll roads in Illinois","Cash only tolls are accepted here","Toll roads are free for residents",A
IN-016,cellPhone,IN,1,16,15,"What is Indiana's cell phone law for drivers 21 and older?","No restrictions","Hands-free only","Texting ban only","Complete ban",C
IA-016,cellPhone,IA,1,16,15,"What is Iowa's cell phone law for drivers 18 and older?","No restrictions","Texting ban only","Hands-free only","Complete ban",B
KS-014,cellPhone,KS,1,16,15,"What is Kansas cell phone law for adult drivers?","No restrictions","Texting ban only","Hands-free only","Complete ban",B
KS-018,cellPhone,KS,1,38,37,"What types of communication are prohibited by Kansas distracted driving law?","All written including email and social","Only text messages while driving cars","Only phone calls while driving cars","Only social media while driving cars",A
KS-030,insurance,KS,1,37,36,"What happens if you drive without insurance in Kansas?","A warning only for the first offense","A small fine only is applied to you","Points on your license but no fine","Fine plus suspension plus impoundment",D
KS-032,stateUnique,KS,1,38,37,"What does Kansas' Move Over law require?","Slow or move for emergency and workers","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Kansas",A
KS-037,stateUnique,KS,1,37,36,"What should Kansas drivers know about rural roads?","Rural roads are all well-maintained","Long straight roads can cause fatigue","Rural roads have higher speed limits","Rural roads are rarely traveled",B
KY-025,duiStateLaws,KY,1,30,29,"When is DUI a felony in Kentucky?","First offense","Second offense","Third offense within 10 years","Fourth offense within 10 years",D
KY-031,stateUnique,KY,1,35,34,"When must headlights be used in Kentucky?","Sunset to sunrise only is required","Only during rain or severe weather","Only on rural roads is required","Sunset to sunrise or under 500 feet",D
KY-034,stateUnique,KY,1,40,39,"What should Kentucky drivers know about mountain roads?","Mountain roads are rare in the state","Eastern Kentucky has winding hilly roads","Mountain roads have higher speed limits","Mountain roads are only in state parks",B
LA-018,cellPhone,LA,1,39,38,"Is it illegal to use a phone in Louisiana school zones?","No phone restrictions in school zones","Hands-free is allowed in school zones","Only texting is banned in school zones","All phone use is banned in school zones",D
LA-025,duiStateLaws,LA,1,38,37,"When can Louisiana suspend your license before DUI conviction?","Never until after final conviction","Immediately upon arrest for any DUI","If you refuse testing or fail BAC test","Only for second or subsequent offense",C
LA-026,duiStateLaws,LA,1,38,37,"What is required for all Louisiana DUI offenders?","Nothing beyond paying fines and costs","Community service hours are required","Substance abuse evaluation and program","Only a driving course is required",C
LA-031,stateUnique,LA,1,35,34,"When must headlights be used in Louisiana?","Sunset to sunrise or low visibility","Sunset to sunrise only is required","Only during rain or severe weather","Only on rural roads is required",A
LA-032,stateUnique,LA,1,39,38,"What does Louisiana's Move Over law require?","Move over for emergency vehicles only","Slow or move for emergency plus utility","Move over only for police vehicles","There is no move over law in Louisiana",B
ME-032,stateUnique,ME,1,35,34,"What does Maine's Move Over law require?","Slow or move for emergency vehicles","Move over for police vehicles only","Move over only for ambulances","There is no move over law in Maine",A
MN-002,gdlLicensing,MN,1,9,8,"How long must a Minnesota teen hold a learner's permit?","6 months","12 months","9 months","3 months",B
MN-012,gdlLicensing,MN,1,20,19,"Can Minnesota parents add restrictions to their teen's license?","No state rules only","Yes by notifying DVS","Only first 30 days","Only for curfew",B
MN-032,stateUnique,MN,1,39,38,"What does Minnesota's Move Over law require?","Slow or move for emergency plus utility","Move over for emergency vehicles only","Move over only for police vehicles","There is no move over law in Minnesota",A
MT-012,gdlLicensing,MT,1,20,19,"Can Montana parents restrict their teen's driving beyond state requirements?","No state rules only","Yes by notifying MVD","Only first 30 days","Only for curfew",B
